id,scientificname,species_group,species_type,species_status,count_obs
17371,Ditrichum heteromallum,Mossen en korstmossen,S,Native,5
17372,Ditrichum lineare,Mossen en korstmossen,S,Native,1
17373,Ditrichum pallidum,Mossen en korstmossen,S,Native,2
17374,Ditrichum pusillum,Mossen en korstmossen,S,Native,3
17375,Drepanocladus aduncus,Mossen en korstmossen,S,Native,84
17376,Drepanocladus polygamus,Mossen en korstmossen,S,Native,8
17378,Encalypta streptocarpa,Mossen en korstmossen,S,Native,140
17379,Encalypta vulgaris,Mossen en korstmossen,S,Native,14
17380,Entodon concinnus,Mossen en korstmossen,S,Native,8
17381,Entosthodon fascicularis,Mossen en korstmossen,S,Native,1
17382,Entosthodon obtusus,Mossen en korstmossen,S,Native,1
17384,Ephemerum recurvifolium,Mossen en korstmossen,S,Native,1
17385,Ephemerum serratum,Mossen en korstmossen,S,Native,6
17386,Eucladium verticillatum,Mossen en korstmossen,S,Native,21
17388,Oxyrrhynchium hians,Mossen en korstmossen,S,Native,249
17389,Kindbergia praelonga,Mossen en korstmossen,S,Native,1229
17390,Oxyrrhynchium pumilum,Mossen en korstmossen,S,Native,44
17391,Oxyrrhynchium schleicheri,Mossen en korstmossen,S,Native,6
17392,Oxyrrhynchium speciosum,Mossen en korstmossen,S,Native,49
17393,Eurhynchium striatum,Mossen en korstmossen,S,Native,286
17394,Fissidens adianthoides,Mossen en korstmossen,S,Native,32
17396,Fissidens bryoides,Mossen en korstmossen,S,Native,218
17397,Fissidens crassipes,Mossen en korstmossen,S,Native,15
17398,Fissidens dubius,Mossen en korstmossen,S,Native,57
17399,Fissidens exilis,Mossen en korstmossen,S,Native,12
17400,Fissidens gracilifolius,Mossen en korstmossen,S,Native,11
17401,Fissidens gymnandrus,Mossen en korstmossen,S,Native,14
17402,Fissidens incurvus,Mossen en korstmossen,S,Native,20
17403,Fissidens osmundoides,Mossen en korstmossen,S,Native,1
17405,Fissidens taxifolius,Mossen en korstmossen,S,Native,360
17406,Fissidens viridulus,Mossen en korstmossen,S,Native,36
17407,Fontinalis antipyretica,Mossen en korstmossen,S,Native,91
17408,Funaria hygrometrica,Mossen en korstmossen,S,Native,421
17412,Grimmia hartmanii,Mossen en korstmossen,S,Native,6
17414,Grimmia montana,Mossen en korstmossen,S,Native,1
17415,Grimmia orbicularis,Mossen en korstmossen,S,Native,9
17416,Grimmia ovalis,Mossen en korstmossen,S,Native,2
17417,Grimmia pulvinata,Mossen en korstmossen,S,Native,1046
17419,Grimmia tergestina,Mossen en korstmossen,S,Native,1
17420,Grimmia trichophylla,Mossen en korstmossen,S,Native,8
