	gbifapi_acceptedScientificName	gbifapi_acceptedKey	kingdom	datasetName	firstObservationYearBE	firstObservationYearFL	invasionStage	habitat	nativeRange	introductionPathway	presenceBE	presenceFL	presenceWA	presenceBR	gbifapi_scientificName	index
2176	Taeniatherum caput-medusae (L.) Nevski	2705666	Plantae	plants	1911.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Taeniatherum caput-medusae var. caput-medusae	2165
2177	Tagetes erecta L.	3088488	Plantae	plants	1953.0		introduced	to be determined by experts	N. America | S. America	escape > horticulture	present	present	present	absent	Tagetes erecta L.	756
2178	Tagetes minuta L.	3088481	Plantae	plants	1880.0		introduced	to be determined by experts	S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Tagetes minuta L.	757
2179	Tagetes patula L.	3088492	Plantae	plants	2005.0		introduced	to be determined by experts	N. America | S. America	escape > horticulture	present	present	present	absent	Tagetes patula L.	758
2180	Tagetes tenuifolia Cav.	7497356	Plantae	plants	1992.0		introduced	to be determined by experts	N. America | S. America	escape > horticulture	present	absent	present	absent	Tagetes tenuifolia Cav.	759
2181	Tamarix canariensis Willd.	2874701	Plantae	plants	1946.0		introduced	to be determined by experts	Europe | Africa	escape > horticulture	present	present	absent	absent	Tamarix canariensis Willd.	2607
2182	Tamarix gallica L.	8380575	Plantae	plants	1940.0		unknown	to be determined by experts	Europe | Africa	escape > horticulture	present	present	absent	absent	Tamarix gallica L.	2608
2183	Tamarix parviflora DC.	2874706	Plantae	plants	1997.0		unknown	to be determined by experts	to be determined by experts	escape > horticulture	present	present	absent	absent	Tamarix parviflora DC.	2609
2184	Tamias sibiricus (Laxmann, 1769)	2437450		harmonia	1969.0		invasive	terrestrial	Asia	escape > pet/aquarium/terrarium species (including live food for such species )	present	present	present	present	Tamias sibiricus (Laxmann, 1769)	159
2185	Tanacetum balsamita L.	3118254	Plantae	plants	1941.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Tanacetum balsamita L.	760
2186	Tanacetum corymbosum (L.) Sch.Bip.	3118216	Plantae	plants	1809.0		introduced	to be determined by experts	Europe	unknown	present	absent	present	absent	Tanacetum corymbosum (L.) Sch.Bip.	761
2187	Tanacetum macrophyllum (Waldst. & Kit.) Sch.Bip.	3118526	Plantae	plants	1882.0		unknown	to be determined by experts	Europe | Asia	escape > horticulture	present	present	present	present	Tanacetum macrophyllum (Waldst. & Kit.) Sch.Bip.	762
2188	Tanacetum parthenium (L.) Sch.Bip.	3118430	Plantae	plants	1800.0		established	to be determined by experts	Europe | Asia	escape > horticulture	present	present	present	present	Tanacetum parthenium (L.) Sch.Bip.	763
2189	Tarenaya hassleriana (Chodat) Iltis	3872463	Plantae	plants	1977.0		introduced	to be determined by experts	S. America	escape > horticulture	present	present	present	absent	Tarenaya hassleriana (Chodat) Iltis	1088
2190	Taxodium distichum (L.) Rich.	2684191	Plantae	plants	2000.0		introduced	to be determined by experts	N. America	escape > horticulture	present	present	absent	absent	Taxodium distichum (L.) Rich.	2611
2191	Telekia speciosa (Schreb.) Baumg.	5389173	Plantae	plants	1870.0		established	to be determined by experts	Europe | Asia	escape > horticulture	present	present	present	present	Telekia speciosa (Schreb.) Baumg.	764
2192	Tellima grandiflora (Pursh) Douglas ex Lindley	3032698	Plantae	plants	1932.0		established	to be determined by experts	N. America	escape > horticulture	present	present	present	present	Tellima grandiflora (Pursh) Douglas ex Lindley	2524
2193	Telmatogeton japonicus Tokunaga, 1933	1450317	Animalia	wrims	2004.0		established | to be determined by experts	to be determined by experts, primarily marine probably	to be determined by experts	to be determined by experts	present		to be determined by experts	to be determined by experts	Telmatogeton japonicus Tokunaga, 1933	9536 | 9537
2195	Tetragonia tetragonioides (Pall.) Kuntze	5384307	Plantae	plants	1888.0		introduced	to be determined by experts	Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector) | escape > agriculture (including biofuel feedstocks)	present	present	present	present	Tetragonia tetragonioides (Pall.) Kuntze	249
2196	Teucrium hircanicum L.	3896282	Plantae	plants	2012.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Teucrium hircanicum L.	1583
2197	Teucrium resupinatum Desf.	8118326	Plantae	plants	1998.0		introduced	to be determined by experts	Europe | Africa	contaminant > seed contaminant	present	absent	present	absent	Teucrium resupinatum Desf.	1584
2199	Thalictrum aquilegiifolium L.	3033131	Plantae	plants	1856.0		unknown	to be determined by experts	Europe | Asia	escape > horticulture	present	present	present	present	Thalictrum aquilegiifolium L.	2317
2200	Thalictrum speciosissimum L.	7277286	Plantae	plants	2011.0		introduced	to be determined by experts	Europe | Africa	escape > horticulture	present	present	absent	absent	Thalictrum speciosissimum L.	2318
2201	Thinopyrum elongatum (Host) D.R.Dewey	4125808	Plantae	plants	1823.0		introduced	to be determined by experts	Europe	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Thinopyrum elongatum (Host) D.R.Dewey	2166
2202	Thladiantha dubia Bunge	2874538	Plantae	plants	2010.0		introduced	to be determined by experts	Asia	unknown	present	present	absent	absent	Thladiantha dubia Bunge	1150
2203	Thlaspi alliaceum L.	3052738	Plantae	plants	1850.0		unknown	to be determined by experts	Europe | Asia	contaminant > seed contaminant	present	present	present	absent	Thlaspi alliaceum L.	971
2205	Thuja occidentalis L.	2684178	Plantae	plants	2007.0		introduced	to be determined by experts	N. America	escape > horticulture	present	present	present	absent	Thuja occidentalis L.	1152
2206	Thuja plicata Donn ex D. Don	2684171	Plantae	plants	2004.0		introduced	to be determined by experts	N. America	escape > horticulture	present	present	absent	absent	Thuja plicata Donn ex D. Don	1153
2207	Thymus citriodorus (Pers.) Schreb.	5607452	Plantae	plants	1866.0		introduced	to be determined by experts	unknown	escape > horticulture	present	present	present	absent	Thymus citriodorus (Pers.) Schreb.	1587
2208	Thymus pulegioides subsp. pannonicus (All.) Kerguélen	5605749	Plantae	plants	1886.0		introduced	to be determined by experts	Europe	unknown	present	present	absent	absent	Thymus pannonicus All.	1585
2209	Thymus vulgaris L.	5341442	Plantae	plants	1899.0		established	to be determined by experts	to be determined by experts	escape > horticulture	present	present	present	absent	Thymus vulgaris L.	1586
