taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	firstObservationYearBE	firstOservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
	rinse				Angiospermae	Eudicotyledoneae			Ambrosia	psilostachya														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Ambrosia	tenuifolia														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Ambrosia	trifida														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amelanchier	lamarckii														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amelanchier	spicata														terrestrial		present											
	rinse				Angiospermae				Amethystea	caeruea														terrestrial		present											
	rinse				Angiospermae				Ammannia	coccinea														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Ammi	majus														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Ammi	visnaga														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amorpha	fruticosa														terrestrial		present											
	rinse				Angiospermae				Amphiachyris	dracunculoides														terrestrial		present											
	rinse				Angiospermae				Amphibromus	recurvatus														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amsinckia	eastwoodiae														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amsinckia	intermedia														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amsinckia	lycopsoides														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Amsinckia	menziesii														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Amsinckia	menziesii menziesii														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amsinckia	micrantha														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Amsinckia	tesselata														terrestrial		present											
	rinse				Angiospermae				Anacyclus	clavatus														terrestrial		present											
	rinse				Angiospermae				Anacyclus	radiatus														terrestrial		present											
	rinse				Angiospermae				Anacyclus	valentinus														terrestrial		present											
	rinse				Angiospermae				Anagallis	foemina														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae				Anagallis	monelli														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Anaphalis	margaritacea														terrestrial		present											
	rinse				Angiospermae				Anarrhinum	bellidifolium														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Anchusa	arvensis														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Anchusa	arvensis 														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Anchusa	arvensis  Orientalis														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Anchusa	azurea														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Anchusa	barrelieri														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Anchusa	gmelinii														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Anchusa	ochroleuca														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Anchusa	officinalis														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Anchusa	procera														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Anchusa	x baumgarteni														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae				Andrachne	telephioides														terrestrial		present											
	rinse				Angiospermae				Androsace	maxima														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Anemone	apennina														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Anemone	blanda														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Anemone	coronaria														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Anemone	ranunculoides														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Anemone	x hybrida														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae				Anethum	graveolens														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae				Angelica	archangelica														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Monocotyledoneae			Anisantha	diandra														terrestrial		present											
	rinse				Angiospermae	Monocotyledoneae			Anisantha	madritensis														terrestrial		present											
	rinse				Angiospermae				Anoda	cristata														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Anthemis	altissima														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Anthemis	arvensis														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Anthemis	austriaca														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Anthemis	cotula														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Anthemis	punctata														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Anthemis	ruthenica														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Anthemis	tinctoria														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Anthemis	tomentosa														terrestrial		not confirmed											
	rinse				Angiospermae	Monocotyledoneae			Anthoxanthum	aristatum														terrestrial		present											
	rinse				Angiospermae				Anthriscus	cerefolium														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae				Anthyllis	vulneraria 														terrestrial		present											
	rinse				Angiospermae				Anthyllis	vulneraria  Carpatica														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae				Anthyllis	vulneraria  polyphylla														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae				Antirrhinum	granaticum														terrestrial		present											
	rinse				Angiospermae				Antirrhinum	majus														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae				Antirrhinum	siculum														terrestrial		not confirmed											
	rinse				Angiospermae				Apera	intermedia														terrestrial		present											
	rinse				Angiospermae				Apera	interrupta														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae				Apera	spica-venti														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Monocotyledoneae			Aponogeton	distachyos														freshwater		present											
	rinse				Angiospermae				Aptenia	cordifolia														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae				Aquilegia	pyrenaica														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae				Aquilegia	vulgaris														terrestrial		present											
	rinse				Angiospermae				Arabidopsis	pumila														terrestrial		not confirmed											
	rinse				Angiospermae				Arabis	alpina														terrestrial		not confirmed											data based solely on DAISIE portal
