taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
156887	wrims	Mytilopsis leucophaeata		Animalia	Mollusca	Bivalvia	Veneroida	Dreissenidae	Mytilopsis							Reported	Alien				Uncertain										Belgian part of the North Sea		1835			Nyst, P. H. J. (1835). Recherches sur les coquilles fossiles de la province d'Anvers. Perichon, Bruxelles. 36 pp.	40767			
117348	wrims	Nemopsis bachei		Animalia	Cnidaria	Hydrozoa	Anthoathecata	Bougainvilliidae	Nemopsis								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
117348	wrims	Nemopsis bachei		Animalia	Cnidaria	Hydrozoa	Anthoathecata	Bougainvilliidae	Nemopsis							Established	Alien				Not specified										Belgian part of the North Sea		1996			Dumoulin, E., 1997. [The invasion-like occurrence in the southern North Sea of the hydromedusae Nemopsis bachei L. Agassiz, 1849 and Eucheilota maculata Hartlaub, 1894 in August-September 1996 (with supplementary data for 1997) (Hydrozoa: Athecata, Thecata).]	38053			
126916	wrims	Neogobius melanostomus		Animalia	Chordata	Actinopteri	Perciformes	Gobiidae	Neogobius							Established	Alien				Not specified										Belgian part of the North Sea		2010			Verreycken, H.; Breine, J. J.; Snoeks, J.; Belpaire, C. (2011). First record of the round goby, <I>Neogobius melanostomus</I> (Actinopterygii: Perciformes: Gobiidae) in Belgium. <em>Acta Ichthyologica Et Piscatoria.</em> 41(2): 137-140.	194948			Brackish, estuaries
233888	wrims	Neosiphonia harveyi		Plantae	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Neosiphonia							Established	Alien				Not specified										Belgian part of the North Sea		2000			Kerckhof, F., Haelters, J.; Gollasch, S. (2007). Alien species in the marine and brackish ecosystem: the situation in Belgian waters. <em>Aquatic Invasions.</em> 2(3): 243-257.	71170			
149095	wrims	Odontella sinensis		Chromista	Ochrophyta	Bacillariophyceae	Triceratiales	Triceratiaceae	Odontella								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
149095	wrims	Odontella sinensis		Chromista	Ochrophyta	Bacillariophyceae	Triceratiales	Triceratiaceae	Odontella							Established	Alien				Not specified										Belgian part of the North Sea		1904			Ostenfeld, C.H., 1908. On the immigration of Biddulphia sinensis Grev. and its occurrence in the North Sea during 1903â€“1907 and on its use for the study of the direction and rate of ï¬‚ow of the currents. Meddelelser fra Kommissionen for Havundersgelser, Serie Plankton, 1(6): 1-44.	191160			
127185	wrims	Oncorhynchus mykiss		Animalia	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus							Established	Alien				Uncertain										Belgian part of the North Sea		1884			DAISIE - European Invasive Alien Species Gateway	177036			
103200	wrims	Orchestia cavimana		Animalia	Arthropoda	Malacostraca	Amphipoda	Talitridae	Orchestia							Established	Alien				Not specified										Belgian part of the North Sea		1927			Wouters, Karel (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium., Bulletin Van Het Koninklijk Instituut Voor Natuurwetenschappen, Biologie. 17: 119-129	192709			estuaries and river basins
103200	wrims	Orchestia cavimana		Animalia	Arthropoda	Malacostraca	Amphipoda	Talitridae	Orchestia								Alien									Belgium										VLIZ Alien Species Consortium	132969			non-indigenous
234098	wrims	Orconectes limosus		Animalia	Arthropoda	Malacostraca	Decapoda	Cambaridae	Orconectes							Established	Alien				Uncertain										Belgian part of the North Sea		1962			DAISIE - European Invasive Alien Species Gateway	177036			
